"Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
1947,"SOCOM: U.S. Navy SEALs Fireteam Bravo 2","PSP",2006,"Shooter","Sony Computer Entertainment",0.81,0.11,0,0.13,1.05
1948,"Skylanders: Trap Team","Wii",2014,"Action","Activision",0.42,0.54,0,0.08,1.05
1949,"Aliens vs Predator","PS3",2010,"Shooter","Sega",0.41,0.47,0,0.18,1.05
1950,"Defender","2600",1980,"Misc","Atari",0.99,0.05,0,0.01,1.05
1951,"Dance on Broadway","Wii",2010,"Misc","Ubisoft",0.27,0.66,0,0.12,1.05
1952,"Adventure Island","NES",1986,"Platform","Hudson Soft",0,0,1.05,0,1.05
1953,"Arc the Lad II","PS",1996,"Role-Playing","Sony Computer Entertainment",0,0,0.92,0.13,1.05
1954,"Tag Team Match M.U.S.C.L.E.","NES",1985,"Fighting","Namco Bandai Games",0,0,1.05,0,1.05
1955,"Derby Stallion 96","SNES",1996,"Sports","ASCII Entertainment",0,0,1.04,0.01,1.05
1956,"UFC Undisputed 3","PS3",2012,"Action","THQ",0.55,0.34,0.03,0.13,1.05
1957,"NBA 2K3","PS2",2002,"Sports","Sega",0.51,0.4,0,0.13,1.05
1958,"Dragon Ball: XenoVerse","PS4",2015,"Fighting","Namco Bandai Games",0.3,0.48,0.12,0.15,1.05
1959,"The Simpsons: Road Rage","XB",2001,"Racing","Electronic Arts",0.78,0.26,0,0.01,1.05
1960,"Dave Mirra Freestyle BMX","PS",2000,"Sports","Acclaim Entertainment",0.91,0.11,0,0.03,1.05
1961,"Imagine: Animal Doctor","DS",2007,"Simulation","Ubisoft",0.45,0.49,0,0.11,1.05
1962,"WWE SmackDown vs. Raw 2010","X360",2009,"Fighting","THQ",0.56,0.38,0.01,0.11,1.05
1963,"Forza Motorsport","XB",2005,"Racing","Microsoft Game Studios",0.52,0.51,0,0.02,1.05
1964,"Sonic the Hedgehog","X360",2006,"Platform","Sega",0.44,0.49,0,0.11,1.05
1965,"MySims Agents","Wii",2009,"Adventure","Electronic Arts",0.62,0.32,0,0.1,1.05
1966,"Monster Rancher 2","PS",1998,"Simulation","Sony Computer Entertainment",0.19,0.13,0.66,0.07,1.05
1967,"Pokemon Conquest","DS",2012,"Role-Playing","Nintendo",0.58,0.06,0.37,0.04,1.05
1968,"The Simpsons Game","X360",2007,"Action","Electronic Arts",0.54,0.4,0,0.11,1.05
1969,"Guinness World Records: The Videogame","Wii",2008,"Action","Warner Bros. Interactive Entertainment",0.46,0.47,0,0.11,1.04
1970,"MVP Baseball 2003","PS2",2003,"Sports","Electronic Arts",0.51,0.4,0,0.13,1.04
1971,"Dragon Ball Z: Budokai Tenkaichi 3","Wii",2007,"Fighting","Atari",0.33,0.37,0.26,0.09,1.04
1972,"Disney Tangled","DS",2010,"Action","Disney Interactive Studios",0.58,0.37,0,0.09,1.04
1973,"Tales of Destiny","PS",1997,"Role-Playing","Namco Bandai Games",0.09,0.06,0.83,0.07,1.04
1974,"ATV: Quad Power Racing","PS",2000,"Racing","Acclaim Entertainment",0.58,0.39,0,0.07,1.04
1975,"Disney Fairies: Tinker Bell and the Lost Treasure","DS",2009,"Adventure","Disney Interactive Studios",0.57,0.35,0.02,0.1,1.04
1976,"Mega Man X4","PS",1996,"Action","Virgin Interactive",0.45,0.3,0.22,0.07,1.04
1977,"Naruto: Clash of Ninja 2","GC",2003,"Fighting","Nintendo",0.44,0.12,0.45,0.03,1.04
1978,"Dance Dance Revolution SuperNOVA","PS2",2006,"Simulation","Konami Digital Entertainment",0.87,0.03,0,0.14,1.04
1979,"Brink","X360",2011,"Shooter","Bethesda Softworks",0.59,0.35,0.01,0.09,1.04
1980,"F-Zero: Maximum Velocity","GBA",2001,"Racing","Nintendo",0.39,0.16,0.37,0.12,1.04
1981,"Bomberman 64","N64",1997,"Puzzle","Hudson Soft",0.5,0.2,0.31,0.03,1.04
1982,"Jeremy McGrath Supercross 98","PS",1998,"Racing","Acclaim Entertainment",0.91,0.1,0,0.03,1.04
1983,"LEGO Indiana Jones 2: The Adventure Continues","X360",2009,"Action","Activision",0.62,0.33,0,0.09,1.04
1984,"Project CARS","PS4",2015,"Racing","Slightly Mad Studios",0.17,0.69,0.02,0.15,1.04
1985,"Need for Speed: Most Wanted","XB",2005,"Racing","Electronic Arts",0.53,0.46,0,0.05,1.04
1986,"Kirby: Mass Attack","DS",2011,"Platform","Nintendo",0.52,0.06,0.41,0.05,1.04
1987,"LEGO Marvel Super Heroes","XOne",2013,"Action","Warner Bros. Interactive Entertainment",0.61,0.34,0,0.09,1.04
1988,"ZhuZhu Pets","DS",2010,"Simulation","Activision",0.68,0.27,0,0.09,1.04
1989,"Tom Clancy's Ghost Recon Advanced Warfighter 2","PS3",2007,"Shooter","Ubisoft",0.34,0.48,0.02,0.19,1.04
1990,"MotorStorm: Arctic Edge","PSP",2009,"Racing","Sony Computer Entertainment",0.16,0.58,0,0.3,1.04
1991,"WipEout Pure","PSP",2005,"Racing","Sony Computer Entertainment",0.47,0.34,0,0.22,1.04
1992,"EA Sports UFC","PS4",2014,"Sports","Electronic Arts",0.46,0.4,0.01,0.17,1.04
1993,"MX vs. ATV Unleashed","PS2",2005,"Racing","THQ",0.86,0.03,0,0.14,1.03
1994,"Sonic Unleashed","PS3",2008,"Platform","Sega",0.56,0.33,0.01,0.14,1.03
1995,"Tiger Woods PGA Tour 08","Wii",2007,"Sports","Electronic Arts",0.94,0.02,0,0.08,1.03
1996,"Rayman Origins","PS3",2011,"Platform","Ubisoft",0.33,0.51,0.01,0.18,1.03
1997,"Epic Mickey 2: The Power of Two","Wii",2012,"Action","Disney Interactive Studios",0.72,0.23,0,0.08,1.03
1998,"NCAA March Madness 2004","PS2",2003,"Sports","Electronic Arts",0.5,0.39,0,0.13,1.03
1999,"Bomberman","NES",1985,"Puzzle","Hudson Soft",0.18,0,0.85,0,1.03
2000,"The Simpsons Game","Wii",2007,"Action","Electronic Arts",0.45,0.47,0,0.11,1.03
2001,"Tomb Raider","PC",1996,"Action","Eidos Interactive",0.96,0.07,0,0,1.03
2002,"Rock Band 2","Wii",2008,"Misc","MTV Games",0.94,0.01,0,0.08,1.03
2003,"Street Fighter Alpha 3","PS",1998,"Fighting","Virgin Interactive",0.38,0.12,0.51,0.02,1.03
2004,"Bulletstorm","X360",2011,"Shooter","Electronic Arts",0.61,0.32,0.01,0.08,1.02
2005,"FIFA Soccer 08","Wii",2007,"Sports","Electronic Arts",0.32,0.59,0.01,0.11,1.02
2006,"Naruto: Clash of Ninja Revolution","Wii",2007,"Fighting","Tomy Corporation",0.45,0.46,0,0.11,1.02
2007,"Tom Clancy's Ghost Recon Advanced Warfighter 2","X360",2007,"Shooter","Ubisoft",0.87,0.05,0.02,0.08,1.02
2008,"ZombiU","WiiU",2012,"Action","Ubisoft",0.53,0.36,0.05,0.08,1.02
2009,"Shrek 2","GC",2004,"Platform","Activision",0.73,0.26,0.01,0.03,1.02
2010,"Petz: Catz 2","DS",2007,"Simulation","Ubisoft",0.51,0.4,0,0.11,1.02
2011,"Tales of Graces f","PS3",2010,"Role-Playing","Namco Bandai Games",0.28,0.21,0.45,0.08,1.02
2012,"Final Fight 2","SNES",1993,"Action","Capcom",0.39,0.12,0.49,0.02,1.02
2013,"Wall-E","Wii",2008,"Platform","THQ",0.51,0.4,0,0.11,1.02
2014,"The Lost World: Jurassic Park","PS",1997,"Action","Electronic Arts",0.57,0.39,0,0.07,1.02
2015,"Ace Combat 6: Fires of Liberation","X360",2007,"Simulation","Atari",0.69,0.04,0.22,0.06,1.02
2016,"Madden NFL 07","XB",2006,"Sports","Electronic Arts",0.97,0.03,0,0.03,1.02
2017,"Disney Infinity 2.0: Marvel Super Heroes","PS3",2014,"Action","Disney Interactive Studios",0.44,0.4,0,0.17,1.02
2018,"Harry Potter and the Prisoner of Azkaban","PS2",2004,"Action","Electronic Arts",0.5,0.39,0,0.13,1.02
2019,"Pong: The Next Level","PS",1998,"Puzzle","Hasbro Interactive",0.56,0.38,0,0.07,1.01
2020,"Bayonetta 2","WiiU",2014,"Action","Nintendo",0.34,0.28,0.1,0.3,1.01
2021,"Prince of Persia","X360",2008,"Action","Ubisoft",0.54,0.35,0.02,0.1,1.01
2022,"God of War: Ghost of Sparta","PSP",2010,"Action","Sony Computer Entertainment",0.41,0.36,0.03,0.21,1.01
2023,"Sonic Generations","3DS",2011,"Platform","Sega",0.44,0.46,0.01,0.09,1.01
2024,"Ninja Gaiden II","X360",2008,"Action","Tecmo Koei",0.65,0.22,0.05,0.1,1.01
2025,"NBA Jam Tournament Edition","SNES",1995,"Sports","Acclaim Entertainment",0.87,0.12,0,0.02,1.01
2026,"Championship Manager 3","PC",2003,"Sports","Eidos Interactive",0,0.93,0,0.08,1.01
2027,"Guitar Hero: Warriors of Rock","Wii",2010,"Misc","Activision",0.48,0.44,0,0.09,1.01
2028,"Oshare Majo Love and Berry: DS Collection","DS",2006,"Misc","Sega",0,0,1.01,0,1.01
2029,"Monster Rancher","PS",1997,"Simulation","Tecmo Koei",0.12,0.08,0.74,0.07,1.01
2030,"The LEGO Movie Videogame","PS3",2014,"Action","Warner Bros. Interactive Entertainment",0.33,0.48,0.02,0.18,1.01
2031,"DiRT 2","PS3",2009,"Racing","Codemasters",0.27,0.53,0,0.2,1.01
2032,"Rayman Legends","PS4",2014,"Platform","Ubisoft",0.21,0.61,0,0.18,1.01
2033,"NERF N-Strike Elite","Wii",2009,"Shooter","Electronic Arts",0.93,0,0,0.07,1
2034,"Ford Racing 2","PS2",2003,"Racing","Empire Interactive",0.49,0.38,0,0.13,1
2035,"Breath of Fire III","PS",1997,"Role-Playing","Capcom",0.29,0.19,0.46,0.07,1
2036,"PES 2009: Pro Evolution Soccer","X360",2008,"Sports","Konami Digital Entertainment",0.13,0.76,0.03,0.09,1
2037,"Dead or Alive 2","PS2",2000,"Fighting","Tecmo Koei",0.3,0.24,0.38,0.08,1
2038,"1942","NES",1985,"Shooter","Capcom",0.65,0.14,0.21,0,1
2039,"Excitebike 64","N64",2000,"Racing","Nintendo",0.65,0.15,0.19,0.01,1
2040,"NES Open Tournament Golf","NES",1991,"Sports","Nintendo",0.41,0.1,0.47,0.02,1
2041,"Game & Watch Gallery","GB",1997,"Misc","Nintendo",0.63,0.25,0.09,0.03,1
2042,"Jissen Pachi-Slot Hisshouhou: Hokuto no Ken","PS2",2004,"Misc","Sammy Corporation",0,0,1,0,1
2043,"SoulCalibur II","XB",2003,"Fighting","Namco Bandai Games",0.78,0.18,0.03,0,1
2044,"Haze","PS3",2008,"Shooter","Ubisoft",0.49,0.33,0.02,0.15,1
2045,"UFC Undisputed 3","X360",2012,"Action","THQ",0.72,0.21,0,0.07,1
2046,"Winning Eleven: Pro Evolution Soccer 2007 (All Region sales)","X360",2006,"Sports","Konami Digital Entertainment",0.08,0.9,0.02,0,1
2047,"Road & Track Presents: The Need for Speed","PS",1995,"Racing","Electronic Arts",0.56,0.38,0,0.07,1
2048,"NFL GameDay 2001","PS",2000,"Sports","Sony Computer Entertainment",0.56,0.38,0,0.07,1
2049,"Killzone: Mercenary","PSV",2013,"Shooter","Sony Computer Entertainment Europe",0.25,0.49,0.04,0.22,1
2050,"NBA Live 97","PS",1996,"Sports","Electronic Arts",0.55,0.38,0,0.07,1
2051,"Dynasty Warriors 3: Xtreme Legends","PS2",2002,"Action","Tecmo Koei",0.13,0.1,0.74,0.03,1
2052,"Zoo Tycoon DS","DS",2005,"Strategy","THQ",0.86,0.04,0.01,0.08,1
2053,"Rocksmith 2014","PS3",2013,"Misc","Ubisoft",0.51,0.27,0.05,0.15,1
2054,"Dead Space 3","PS3",2013,"Action","Electronic Arts",0.44,0.38,0,0.17,1
2055,"Wheel of Fortune","Wii",2010,"Misc","THQ",0.89,0.04,0,0.06,1
2056,"Disney Infinity","PS3",2013,"Action","Disney Interactive Studios",0.48,0.35,0,0.16,1
2057,"Dark Souls","X360",2011,"Role-Playing","Namco Bandai Games",0.64,0.28,0,0.08,1
2058,"Puzzler Collection","DS",2008,"Puzzle","Ubisoft",0.17,0.78,0,0.04,1
2059,"Jampack Winter 2000","PS",2000,"Misc","Sony Computer Entertainment",0.55,0.38,0,0.07,1
2060,"Dead Space 3","X360",2013,"Action","Electronic Arts",0.64,0.28,0,0.08,0.99
2061,"Phoenix Wright: Ace Attorney","DS",2005,"Adventure","Capcom",0.49,0.07,0.39,0.05,0.99
2062,"NFL Fever 2002","XB",2000,"Sports","Microsoft Game Studios",0.74,0.21,0,0.04,0.99
2063,"The Simpsons: Hit & Run","GC",2003,"Racing","Vivendi Games",0.77,0.2,0,0.03,0.99
2064,"Littlest Pet Shop: Winter","DS",2008,"Simulation","Electronic Arts",0.59,0.31,0,0.1,0.99
2065,"Tom Clancy's Splinter Cell: Blacklist","X360",2013,"Action","Ubisoft",0.57,0.34,0.01,0.08,0.99
2066,"Ace Combat X: Skies of Deception","PSP",2006,"Simulation","Namco Bandai Games",0.37,0.31,0.12,0.19,0.99
2067,"NCAA Football 12","X360",2011,"Sports","Electronic Arts",0.94,0,0,0.06,0.99
2068,"LEGO Pirates of the Caribbean: The Video Game","PS3",2011,"Action","Disney Interactive Studios",0.36,0.46,0,0.17,0.99
2069,"Band Hero","Wii",2009,"Misc","Activision",0.6,0.3,0,0.09,0.99
2070,"Cars: Race-O-Rama","Wii",2009,"Racing","THQ",0.61,0.3,0,0.09,0.99
2071,"Oddworld: Abe's Exoddus","PS",1998,"Platform","GT Interactive",0.55,0.38,0,0.06,0.99
2072,"EyePet","PS3",2009,"Simulation","Sony Computer Entertainment",0.35,0.52,0.04,0.09,0.99
2073,"Scooby-Doo! First Frights","Wii",2009,"Action","Warner Bros. Interactive Entertainment",0.88,0.05,0,0.07,0.99
2074,"Midnight Club: LA Remix","PSP",2008,"Racing","Take-Two Interactive",0.52,0.28,0,0.19,0.99
2075,"The Bouncer","PS2",2000,"Action","Sony Computer Entertainment",0.3,0.23,0.38,0.08,0.99
2076,"Guitar Hero: Aerosmith","PS3",2008,"Misc","Activision",0.73,0.15,0,0.11,0.99
2077,"WWE SmackDown vs Raw 2008","Wii",2007,"Fighting","THQ",0.38,0.5,0,0.11,0.99
2078,"FIFA Soccer 10","Wii",2009,"Sports","Electronic Arts",0.23,0.65,0,0.11,0.99
2079,"Shadow The Hedgehog","GC",2005,"Platform","Sega",0.76,0.2,0,0.03,0.99
2080,"Farming Simulator 2013","PC",2012,"Simulation","Focus Home Interactive",0,0.8,0,0.18,0.99
2081,"Fallout 3","PC",2008,"Role-Playing","Bethesda Softworks",0.02,0.88,0,0.08,0.99
2082,"Cars","DS",2006,"Racing","THQ",0.85,0.05,0,0.08,0.98
2083,"Pro Evolution Soccer 2008","PSP",2008,"Sports","Konami Digital Entertainment",0.02,0.53,0.19,0.25,0.98
2084,"Far Cry 3","PC",2012,"Shooter","Ubisoft",0.21,0.62,0,0.14,0.98
2085,"Xenoblade Chronicles","Wii",2010,"Role-Playing","Nintendo",0.49,0.26,0.16,0.08,0.98
2086,"Just Dance 2014","X360",2013,"Misc","Ubisoft",0.72,0.19,0,0.07,0.98
2087,"Mario Party Advance","GBA",2005,"Misc","Nintendo",0.5,0.19,0.28,0.02,0.98
2088,"Sonic & Sega All-Stars Racing","PS3",2010,"Racing","Sega",0.36,0.46,0,0.17,0.98
2089,"Tetris 2","NES",1993,"Puzzle","Nintendo",0.62,0.13,0.21,0.02,0.98
2090,"NASCAR 99","N64",1998,"Racing","Electronic Arts",0.94,0.04,0,0.01,0.98
2091,"Kingdom Hearts Re:coded","DS",2010,"Role-Playing","Square Enix",0.56,0.1,0.27,0.05,0.98
2092,"South Park: The Stick of Truth","PS3",2014,"Role-Playing","Ubisoft",0.42,0.38,0,0.17,0.98
2093,"Driver: San Francisco","PS3",2011,"Racing","Ubisoft",0.24,0.54,0.01,0.18,0.98
2094,"Sniper Elite V2","PS3",2012,"Shooter","505 Games",0.38,0.39,0.06,0.15,0.98
2095,"Far Cry 4","X360",2014,"Shooter","Ubisoft",0.45,0.44,0,0.08,0.98
2096,"Grand Theft Auto: San Andreas","PC",2005,"Action","Take-Two Interactive",0,0.92,0,0.05,0.98
2097,"Tom Clancy's Splinter Cell: Blacklist","PS3",2013,"Action","Ubisoft",0.34,0.41,0.06,0.18,0.98
2098,"Pro Evolution Soccer 2014","PS3",2013,"Action","Konami Digital Entertainment",0.03,0.43,0.51,0.01,0.98
2099,"Madden NFL 16","X360",2015,"Sports","Electronic Arts",0.82,0.05,0,0.1,0.98
2100,"Madden NFL 10","PS2",2009,"Sports","Electronic Arts",0.88,0,0,0.1,0.98
2101,"Brutal Legend","X360",2009,"Action","Electronic Arts",0.62,0.27,0,0.09,0.98
2102,"Tamagotchi Connection: Corner Shop 2","DS",2006,"Simulation","Namco Bandai Games",0.09,0.02,0.86,0.01,0.98
2103,"Final Fantasy Type-0","PS4",2015,"Role-Playing","Square Enix",0.37,0.32,0.15,0.14,0.97
2104,"Madden NFL 08","PS3",2007,"Sports","Electronic Arts",0.89,0.01,0,0.08,0.97
2105,"de Blob","Wii",2008,"Platform","THQ",0.5,0.37,0,0.1,0.97
2106,"NCAA Football 06","XB",2005,"Sports","Electronic Arts",0.73,0.21,0,0.03,0.97
2107,"Mass Effect 3","PC",2012,"Role-Playing","Electronic Arts",0.4,0.44,0,0.13,0.97
2108,"NBA 2K10","X360",2009,"Sports","Take-Two Interactive",0.88,0.02,0,0.08,0.97
2109,"Fire Emblem","GBA",2003,"Strategy","Nintendo",0.49,0.18,0.29,0.01,0.97
2110,"Skylanders: Spyro's Adventure","X360",2011,"Action","Activision",0.53,0.35,0,0.1,0.97
2111,"Club Penguin: Game Day!","Wii",2010,"Sports","Disney Interactive Studios",0.56,0.33,0,0.08,0.97
2112,"NHL 2004","PS2",2003,"Sports","Electronic Arts",0.47,0.37,0,0.12,0.97
2113,"Grand Theft Auto: Vice City Stories","PS2",2007,"Action","Take-Two Interactive",0.78,0.03,0.03,0.13,0.97
2114,"NBA 2K16","X360",2015,"Sports","Take-Two Interactive",0.77,0.1,0,0.1,0.97
2115,"FIFA Soccer 2005","XB",2004,"Sports","Electronic Arts",0.33,0.6,0,0.04,0.97
2116,"LEGO The Lord of the Rings","Wii",2012,"Action","Warner Bros. Interactive Entertainment",0.52,0.37,0,0.08,0.97
2117,"Romancing SaGa","SNES",1992,"Role-Playing","SquareSoft",0,0,0.97,0,0.97
2118,"Donkey Kong Junior","2600",1981,"Platform","Atari",0.9,0.05,0,0.01,0.97
2119,"LEGO Star Wars II: The Original Trilogy","GC",2006,"Action","LucasArts",0.75,0.19,0,0.03,0.97
2120,"Final Fantasy X / X-2 HD Remaster","PSV",2013,"Role-Playing","Square Enix",0.21,0.31,0.28,0.16,0.97
2121,"Medal of Honor: Underground","PS",2000,"Shooter","Electronic Arts",0.54,0.37,0,0.06,0.97
2122,"The Sims 2","DS",2005,"Simulation","Electronic Arts",0.82,0.07,0,0.07,0.96
2123,"Dark Cloud 2","PS2",2002,"Role-Playing","Sony Computer Entertainment",0.38,0.25,0.26,0.07,0.96
2124,"Jampack Summer '99","PS",1999,"Misc","Sony Computer Entertainment",0.54,0.36,0,0.06,0.96
2125,"PlayStation All-Stars Battle Royale","PS3",2012,"Action","Sony Computer Entertainment",0.5,0.28,0.04,0.14,0.96
2126,"Dance Dance Revolution 2nd ReMIX","PS",1999,"Simulation","Konami Digital Entertainment",0,0,0.9,0.06,0.96
2127,"Monster High: Ghoul Spirit","DS",2011,"Misc","THQ",0.72,0.17,0,0.07,0.96
2128,"Dragon Quest X","Wii",2012,"Role-Playing","Square Enix",0,0,0.96,0,0.96
2129,"LEGO Pirates of the Caribbean: The Video Game","DS",2011,"Action","Disney Interactive Studios",0.37,0.49,0,0.1,0.96
2130,"Gangs of London","PSP",2006,"Adventure","Sony Computer Entertainment",0.3,0.44,0,0.22,0.96
2131,"Mortal Kombat Trilogy","N64",1996,"Fighting","GT Interactive",0.72,0.22,0,0.02,0.96
2132,"Star Soldier","NES",1986,"Shooter","Hudson Soft",0.32,0.06,0.57,0.01,0.96
2133,"Sonic Unleashed","X360",2008,"Platform","Sega",0.54,0.33,0,0.09,0.96
2134,"Lost Planet 2","PS3",2010,"Shooter","Capcom",0.29,0.34,0.2,0.13,0.96
2135,"NHL 2001","PS2",2000,"Sports","Electronic Arts",0.47,0.37,0,0.12,0.96
2136,"Dragon Quest Monsters: Terry's Wonderland 3D","3DS",2012,"Role-Playing","Square Enix",0,0,0.96,0,0.96
2137,"My Weight Loss Coach","DS",2008,"Sports","Ubisoft",0.3,0.54,0,0.11,0.96
2138,"Tom Clancy's Ghost Recon: Future Soldier","PS3",2012,"Shooter","Ubisoft",0.41,0.33,0.09,0.12,0.96
2139,"Mega Man Star Force Dragon / Leo / Pegasus","DS",2006,"Action","Capcom",0.39,0,0.53,0.03,0.96
2140,"Shinobi","PS2",2002,"Platform","Sony Computer Entertainment",0.36,0.28,0.22,0.09,0.96
2141,"Mortal Kombat: Deadly Alliance","XB",2002,"Fighting","Midway Games",0.77,0.15,0,0.04,0.96
2142,"The Witcher 2: Assassins of Kings","PC",2011,"Action","Namco Bandai Games",0.25,0.56,0,0.15,0.96
2143,"PilotWings Resort","3DS",2011,"Simulation","Nintendo",0.4,0.36,0.13,0.07,0.96
2144,"Naruto Shippuden: Ultimate Ninja Storm 3","PS3",2013,"Fighting","Namco Bandai Games",0.32,0.33,0.15,0.15,0.96
2145,"LEGO Jurassic World","X360",2015,"Action","Warner Bros. Interactive Entertainment",0.47,0.4,0,0.08,0.95
2146,"ESPN NBA 2K5","XB",2004,"Sports","Global Star",0.88,0.04,0,0.04,0.95
2147,"World Championship Poker","PS2",2004,"Misc","Play It",0.8,0.03,0,0.13,0.95
2148,"Tom Clancy's Splinter Cell: Chaos Theory","PS2",2005,"Action","Ubisoft",0.36,0.45,0,0.14,0.95
2149,"SpongeBob SquarePants: Battle for Bikini Bottom","GC",2003,"Platform","THQ",0.74,0.19,0,0.03,0.95
2150,"South Park: The Stick of Truth","X360",2014,"Role-Playing","Ubisoft",0.57,0.3,0,0.08,0.95
2151,"Ben 10: Alien Force","DS",2008,"Action","Koch Media",0.65,0.22,0,0.09,0.95
2152,"SingStar Abba","PS3",2008,"Misc","Sony Computer Entertainment",0.27,0.51,0,0.17,0.95
2153,"Cars 2","Wii",2011,"Racing","Disney Interactive Studios",0.46,0.39,0,0.1,0.95
2154,"Wild ARMs","PS",1996,"Role-Playing","Sony Computer Entertainment",0.26,0.17,0.46,0.06,0.95
2155,"Kessen","PS2",2000,"Strategy","Electronic Arts",0.27,0.21,0.41,0.07,0.95
2156,"Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel","GBA",2003,"Misc","Konami Digital Entertainment",0.68,0.25,0,0.02,0.95
2157,"NCAA Football 2000","PS",1999,"Sports","Electronic Arts",0.53,0.36,0,0.06,0.95
2158,"Brutal Legend","PS3",2009,"Action","Electronic Arts",0.54,0.28,0,0.13,0.95
2159,"Skylanders: Spyro's Adventure","PS3",2011,"Action","Activision",0.39,0.4,0,0.16,0.95
2160,"Guitar Hero: Metallica","Wii",2009,"Misc","Activision",0.41,0.43,0,0.1,0.95
2161,"Evolve","PS4",2015,"Shooter","Take-Two Interactive",0.35,0.41,0.05,0.15,0.95
2162,"WWE SmackDown vs. Raw 2009","PS3",2008,"Fighting","THQ",0.51,0.31,0.01,0.13,0.95
2163,"Army of Two: The 40th Day","X360",2010,"Shooter","Electronic Arts",0.62,0.24,0,0.08,0.95
2164,"Tony Hawk: RIDE","Wii",2009,"Sports","Activision",0.7,0.17,0,0.08,0.95
2165,"Lego Batman 3: Beyond Gotham","X360",2014,"Action","Warner Bros. Interactive Entertainment",0.48,0.38,0,0.08,0.95
2166,"Wii Play: Motion","Wii",2011,"Misc","Nintendo",0.24,0.43,0.18,0.09,0.95
2167,"Killzone","PS2",2004,"Shooter","Sony Computer Entertainment",0.79,0.03,0,0.13,0.94
2168,"The Tomb Raider Trilogy","PS3",2011,"Action","Square Enix",0.27,0.5,0,0.17,0.94
2169,"Colin McRae Rally 04","PS2",2003,"Racing","Codemasters",0.01,0.71,0.01,0.21,0.94
2170,"Star Fox 64 3D","3DS",2011,"Shooter","Nintendo",0.48,0.27,0.13,0.07,0.94
2171,"The SpongeBob SquarePants Movie","GC",2004,"Platform","THQ",0.73,0.19,0,0.03,0.94
2172,"Rocksmith 2014","X360",2013,"Misc","Ubisoft",0.69,0.17,0,0.08,0.94
2173,"Midway Presents Arcade's Greatest Hits: The Atari Collection 1","PS",1996,"Misc","GT Interactive",0.52,0.36,0,0.06,0.94
2174,"Cars","Wii",2006,"Racing","THQ",0.83,0.04,0,0.07,0.94
2175,"Assassin's Creed III","PC",2012,"Action","Ubisoft",0.28,0.53,0,0.13,0.94
2176,"Castlevania: Lament of Innocence","PS2",2003,"Action","Konami Digital Entertainment",0.46,0.36,0,0.12,0.94
2177,"Mario Tennis Open","3DS",2012,"Sports","Nintendo",0.26,0.29,0.33,0.05,0.94
2178,"The Witcher 2: Assassins of Kings","X360",2012,"Action","Namco Bandai Games",0.48,0.36,0.02,0.08,0.94
2179,"Bayonetta","X360",2009,"Action","Sega",0.51,0.26,0.09,0.08,0.94
2180,"Destroy All Humans!","PS2",2005,"Shooter","THQ",0.78,0.03,0,0.13,0.94
2181,"MVP Baseball 2005","XB",2005,"Sports","Electronic Arts",0.7,0.2,0,0.03,0.94
2182,"SaGa Frontier 2","PS",1999,"Role-Playing","SquareSoft",0.1,0.07,0.71,0.06,0.94
2183,"NCAA Football 10","X360",2009,"Sports","Electronic Arts",0.87,0,0,0.07,0.94
2184,"MLB 2000","PS",1999,"Sports","Sony Computer Entertainment",0.52,0.35,0,0.06,0.94
2185,"The Legend of Zelda: Twilight Princess HD","WiiU",2016,"Action","Nintendo",0.48,0.3,0.08,0.08,0.94
2186,"Bully","PS2",2006,"Action","Take-Two Interactive",0.75,0.03,0.04,0.12,0.94
2187,"Prince of Persia: The Sands of Time","XB",2003,"Action","Ubisoft",0.57,0.33,0,0.04,0.94
2188,"Phantasy Star Portable","PSP",2008,"Role-Playing","Sega",0.19,0.06,0.63,0.05,0.94
2189,"Hot Shots Golf Fore!","PS2",2003,"Sports","Sony Computer Entertainment",0.46,0.36,0,0.12,0.94
2190,"MLB 06: The Show","PS2",2006,"Sports","Sony Computer Entertainment",0.78,0.03,0,0.13,0.94
2191,"NHL 2003","PS2",2002,"Sports","Electronic Arts",0.46,0.36,0,0.12,0.93
2192,"Operation Flashpoint: Dragon Rising","X360",2009,"Shooter","Codemasters",0.36,0.45,0.02,0.1,0.93
2193,"Nickelodeon Fit","Wii",2010,"Sports","Take-Two Interactive",0.78,0.09,0,0.06,0.93
2194,"Buzz! Quiz World","PS3",2009,"Misc","Sony Computer Entertainment",0.16,0.58,0,0.2,0.93
2195,"Bentley's Hackpack","GBA",2005,"Misc","N/A",0.67,0.25,0,0.02,0.93
2196,"Tony Hawk's Pro Skater 4","XB",2002,"Sports","Activision",0.59,0.3,0,0.04,0.93
2197,"Borderlands 2","PC",2012,"Shooter","Take-Two Interactive",0.42,0.41,0,0.11,0.93
2198,"EA Sports Grand Slam Tennis","Wii",2009,"Sports","Electronic Arts",0.29,0.52,0.02,0.11,0.93
2199,"White Knight Chronicles: International Edition","PS3",2008,"Role-Playing","Sony Computer Entertainment",0.33,0.16,0.36,0.08,0.93
2200,"SSX","PS3",2012,"Sports","Electronic Arts",0.35,0.42,0.02,0.14,0.93
2201,"Sonic Riders: Zero Gravity","Wii",2008,"Racing","Sega",0.5,0.32,0.02,0.1,0.93
