"Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Revenue"
1161,"Jampack Summer 2K","PS",2000,"Misc","Sony Computer Entertainment",0.88,0.6,0,0.1,1.58,"1"
1162,"Need for Speed: Most Wanted","X360",2012,"Racing","Electronic Arts",0.62,0.8,0.01,0.15,1.58,"1"
1163,"Guitar Hero 5","Wii",2009,"Misc","Activision",0.94,0.49,0,0.15,1.58,"1"
1164,"High School Musical 3: Senior Year","DS",2008,"Misc","Disney Interactive Studios",0.64,0.76,0,0.17,1.58,"1"
1165,"Kingdom Hearts 3D: Dream Drop Distance","3DS",2012,"Action","Square Enix",0.88,0.26,0.34,0.09,1.58,"1"
1166,"Hannah Montana: Music Jam","DS",2007,"Action","Disney Interactive Studios",1.06,0.37,0,0.15,1.58,"1"
1167,"Pokemon Mystery Dungeon: Explorers of Sky","DS",2009,"Role-Playing","Nintendo",0.58,0.44,0.44,0.12,1.58,"1"
1168,"Spyro 2: Season of Flame","GBA",2002,"Platform","Vivendi Games",0.85,0.65,0,0.08,1.58,"1"
1169,"Pro Evolution Soccer 2010","PS2",2009,"Sports","Konami Digital Entertainment",0.1,0.18,0.12,1.16,1.57,"1"
1170,"NCAA Football 2002","PS2",2001,"Sports","Electronic Arts",0.77,0.6,0,0.2,1.57,"1"
1171,"Conflict: Desert Storm","PS2",2002,"Shooter","Gotham Games",0.98,0.53,0,0.06,1.57,"1"
1172,"Mario Party 7","GC",2005,"Misc","Nintendo",0.95,0.11,0.46,0.04,1.57,"1"
1173,"Pro Evolution Soccer 2013","PS3",2012,"Sports","Konami Digital Entertainment",0.18,0.64,0.49,0.25,1.56,"1"
1174,"Smuggler's Run","PS2",2000,"Racing","Take-Two Interactive",0.77,0.6,0,0.2,1.56,"1"
1175,"Fight Night Round 3","PS2",2006,"Fighting","Electronic Arts",1.07,0.4,0,0.1,1.56,"1"
1176,"Donkey Kong Classics","NES",1988,"Platform","Nintendo",0.59,0.14,0.81,0.02,1.56,"1"
1177,"Twisted Metal","PS",1995,"Action","Sony Computer Entertainment",1.32,0.19,0,0.05,1.56,"1"
1178,"Dark Souls III","PS4",2016,"Role-Playing","Namco Bandai Games",0.58,0.44,0.33,0.21,1.56,"1"
1179,"Final Fight","SNES",1990,"Action","Capcom",0.67,0.17,0.69,0.03,1.56,"1"
1180,"Dragon Quest Monsters 2","GB",2001,"Role-Playing","Enix Corporation",0,0,1.56,0,1.56,"1"
1181,"Pokemon Pinball: Ruby & Sapphire","GBA",2003,"Misc","Nintendo",0.68,0.38,0.44,0.05,1.56,"1"
1182,"LEGO Marvel Super Heroes","PS4",2013,"Action","Warner Bros. Interactive Entertainment",0.59,0.75,0.01,0.21,1.56,"1"
1183,"Mafia II","X360",2010,"Action","Take-Two Interactive",0.84,0.56,0,0.15,1.55,"1"
1184,"Dishonored","PS3",2012,"Action","Bethesda Softworks",0.72,0.54,0.04,0.25,1.55,"1"
1185,"Stuntman","PS2",2002,"Racing","Atari",0.76,0.59,0,0.2,1.55,"1"
1186,"Tom Clancy's Rainbow Six 3","XB",2003,"Shooter","Ubisoft",0.91,0.57,0,0.07,1.55,"1"
1187,"Active Life: Outdoor Challenge","Wii",2008,"Sports","Atari",0.79,0.44,0.19,0.14,1.55,"1"
1188,"BioShock 2","PS3",2010,"Shooter","Take-Two Interactive",0.85,0.47,0.02,0.22,1.55,"1"
1189,"007: The World is not Enough","N64",2000,"Action","Electronic Arts",1.13,0.38,0.02,0.03,1.55,"1"
1190,"Spider-Man 2: Enter: Electro","PS",2001,"Action","Activision",0.57,0.87,0.02,0.09,1.55,"1"
1191,"Watch Dogs","XOne",2014,"Action","Ubisoft",0.9,0.53,0,0.13,1.55,"1"
1192,"Star Wars: The Force Unleashed II","PS3",2010,"Action","LucasArts",0.8,0.53,0,0.22,1.55,"1"
1193,"Ni no Kuni: Wrath of the White Witch","PS3",2011,"Role-Playing","Namco Bandai Games",0.6,0.51,0.21,0.23,1.55,"1"
1194,"Command & Conquer: Tiberian Sun","PC",1999,"Strategy","Westwood Studios",1.55,0,0,0,1.55,"1"
1195,"LEGO Battles: Ninjago","DS",2011,"Strategy","Warner Bros. Interactive Entertainment",1.07,0.36,0,0.12,1.55,"1"
1196,"Mario Party 10","WiiU",2015,"Misc","Nintendo",0.69,0.5,0.24,0.11,1.55,"1"
1197,"Dead Rising 3","XOne",2013,"Action","Microsoft Game Studios",1.06,0.35,0.01,0.12,1.54,"1"
1198,"Resident Evil: The Umbrella Chronicles","Wii",2007,"Action","Capcom",0.68,0.43,0.29,0.14,1.54,"1"
1199,"Fire Emblem Fates","3DS",2015,"Role-Playing","Nintendo",0.71,0.22,0.52,0.1,1.54,"1"
1200,"Dark Cloud","PS2",2000,"Role-Playing","Sony Computer Entertainment",0.83,0.44,0.08,0.19,1.54,"1"
1201,"Warcraft III: The Frozen Throne","PC",2003,"Strategy","Activision",0.58,0.87,0,0.09,1.54,"1"
1202,"Tom Clancy's Ghost Recon Advanced Warfighter","X360",2006,"Shooter","Ubisoft",1.4,0.02,0.02,0.1,1.54,"1"
1203,"Disney Fairies: Tinker Bell","DS",2008,"Adventure","Disney Interactive Studios",0.86,0.52,0.01,0.15,1.54,"1"
1204,"MVP Baseball 2005","PS2",2005,"Sports","Electronic Arts",1.26,0.07,0,0.21,1.54,"1"
1205,"Die Hard Trilogy","PS",1996,"Shooter","Fox Interactive",0.85,0.58,0,0.1,1.54,"1"
1206,"Call of Duty: Black Ops II","PC",2012,"Shooter","Activision",0.63,0.69,0,0.21,1.53,"1"
1207,"Fight Night Round 4","PS3",2009,"Fighting","Electronic Arts",0.92,0.41,0,0.21,1.53,"1"
1208,"MySims Kingdom","Wii",2008,"Simulation","Electronic Arts",0.71,0.65,0.01,0.17,1.53,"1"
1209,"The Simpsons Game","DS",2007,"Action","Electronic Arts",0.57,0.79,0,0.17,1.53,"1"
1210,"Mortal Kombat 3","SNES",1994,"Fighting","Acclaim Entertainment",1.19,0.29,0,0.05,1.53,"1"
1211,"NFL GameDay 99","PS",1998,"Sports","989 Studios",1.44,0.05,0,0.04,1.53,"1"
1212,"Call of Duty: Modern Warfare: Reflex Edition","Wii",2009,"Shooter","Activision",0.95,0.43,0,0.14,1.53,"1"
1213,"FIFA 17","XOne",2016,"Sports","Electronic Arts",0.17,1.26,0,0.1,1.53,"1"
1214,"Mario Golf: Toadstool Tour","GC",2003,"Sports","Nintendo",1.09,0.15,0.25,0.04,1.53,"1"
1215,"Tiger Woods 99 PGA Tour Golf","PS",1997,"Sports","Electronic Arts",0.85,0.58,0,0.1,1.53,"1"
1216,"Donkey Kong Country: Tropical Freeze","WiiU",2014,"Platform","Nintendo",0.73,0.52,0.15,0.12,1.52,"1"
1217,"Dead Space 2","X360",2011,"Shooter","Electronic Arts",0.94,0.45,0,0.13,1.52,"1"
1218,"Sonic Rivals 2","PSP",2007,"Racing","Sega",0.44,0.69,0,0.39,1.52,"1"
1219,"Knockout Kings","PS",1997,"Fighting","Electronic Arts",1.07,0.39,0,0.06,1.52,"1"
1220,"The Simpsons Skateboarding","PS2",2002,"Sports","Electronic Arts",0.36,0.9,0,0.27,1.52,"1"
1221,"NASCAR 98","PS",1996,"Racing","Electronic Arts",1.43,0.05,0,0.04,1.52,"1"
1222,"F1 Race","NES",1984,"Racing","Nintendo",0,0,1.52,0,1.52,"1"
1223,"Xevious","NES",1984,"Shooter","Namco Bandai Games",0.18,0.06,1.27,0.01,1.52,"1"
1224,"NASCAR 99","PS",1998,"Racing","Electronic Arts",1.45,0.04,0,0.04,1.52,"1"
1225,"NBA Live 2000","PS",1998,"Sports","Electronic Arts",1.43,0.05,0,0.03,1.52,"1"
1226,"Mafia II","PS3",2010,"Action","Take-Two Interactive",0.5,0.72,0.04,0.26,1.52,"1"
1227,"Call of Duty 3","PS3",2006,"Shooter","Activision",0.6,0.63,0.03,0.26,1.52,"1"
1228,"Super Monkey Ball 2","GC",2002,"Puzzle","Atari",1.11,0.31,0.06,0.04,1.52,"1"
1229,"Pac-Man World 2","PS2",2002,"Action","Namco Bandai Games",1.26,0.05,0,0.21,1.51,"1"
1230,"Madden NFL 15","XOne",2014,"Sports","Electronic Arts",1.3,0.09,0,0.12,1.51,"1"
1231,"Sonic & Sega All-Stars Racing","Wii",2010,"Racing","Sega",0.65,0.71,0,0.15,1.51,"1"
1232,"LEGO Star Wars III: The Clone Wars","X360",2011,"Action","LucasArts",0.84,0.54,0,0.13,1.51,"1"
1233,"Football Manager 2012","PC",2011,"Sports","Sega",0.02,1.16,0,0.34,1.51,"1"
1234,"Puzzle & Dragons","3DS",2013,"Role-Playing","GungHo",0,0,1.51,0,1.51,"1"
1235,"Mega Man 2","NES",1988,"Action","Capcom",0.93,0.15,0.42,0.01,1.51,"1"
1236,"Simpsons Wrestling","PS",2001,"Fighting","Electronic Arts",0.23,1.16,0,0.11,1.51,"1"
1237,"NBA Live 98","PS",1997,"Sports","Electronic Arts",1.41,0.06,0,0.04,1.51,"1"
1238,"The Simpsons Game","PS2",2007,"Action","Electronic Arts",0.35,0.03,0,1.13,1.51,"1"
1239,"Monopoly","PS",1997,"Misc","Hasbro Interactive",1.18,0.27,0,0.05,1.51,"1"
1240,"SoulCalibur II","GC",2003,"Fighting","Namco Bandai Games",0.99,0.32,0.11,0.08,1.5,"1"
1241,"Resistance 3","PS3",2011,"Shooter","Sony Computer Entertainment",0.64,0.58,0.05,0.23,1.5,"1"
1242,"Tokyo Xtreme Racer Zero","PS2",2000,"Racing","Crave Entertainment",0.66,0.52,0.15,0.17,1.5,"1"
1243,"Final Fantasy XIV: A Realm Reborn","PC",2010,"Role-Playing","Square Enix",0.86,0.48,0,0.17,1.5,"1"
1244,"NFL Blitz","PS",1998,"Sports","Midway Games",1.41,0.05,0,0.04,1.5,"1"
1245,"Red Faction II","PS2",2002,"Shooter","THQ",0.49,0.78,0,0.23,1.5,"1"
1246,"Super Scribblenauts","DS",2010,"Puzzle","Warner Bros. Interactive Entertainment",1.08,0.31,0,0.11,1.5,"1"
1247,"Madden NFL 2001","PS2",2000,"Sports","Electronic Arts",1.19,0.07,0.05,0.2,1.5,"1"
1248,"WWF No Mercy","N64",2000,"Fighting","THQ",1.2,0.27,0.02,0.02,1.5,"1"
1249,"Ice Climber","NES",1985,"Platform","Nintendo",0.46,0.1,0.92,0.02,1.5,"1"
1250,"Sonic CD","SCD",1993,"Platform","Sega",1,0.36,0.09,0.05,1.5,"1"
1251,"Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki","NES",1986,"Platform","Hudson Soft",0,0,1.5,0,1.5,"1"
1252,"Dead Rising 2","X360",2010,"Action","Capcom",0.75,0.53,0.09,0.12,1.5,"1"
1253,"Rock Band 2","PS3",2008,"Misc","MTV Games",1.13,0.2,0,0.16,1.5,"1"
1254,"Pac-Man World","PS",1998,"Action","Namco Bandai Games",1.21,0.14,0.1,0.04,1.5,"1"
1255,"Disney Sing It: Pop Hits","Wii",2009,"Misc","Disney Interactive Studios",1.08,0.28,0,0.13,1.49,"1"
1256,"Final Fantasy: Crystal Chronicles","GC",2003,"Role-Playing","Nintendo",0.72,0.38,0.36,0.04,1.49,"1"
1257,"Medal of Honor: Frontline","XB",2002,"Shooter","Electronic Arts",1,0.43,0,0.06,1.49,"1"
1258,"Madden NFL 09","PS2",2008,"Sports","Electronic Arts",1.22,0,0,0.27,1.49,"1"
1259,"Drawn To Life: SpongeBob SquarePants Edition","DS",2008,"Adventure","THQ",1,0.36,0,0.13,1.49,"1"
1260,"Banjo-Tooie","N64",2000,"Platform","Nintendo",0.82,0.36,0.25,0.06,1.49,"1"
1261,"Buzz! The BIG Quiz","PS2",2006,"Misc","Sony Computer Entertainment",0,1.1,0,0.39,1.49,"1"
1262,"007: Quantum of Solace","X360",2008,"Action","Activision",0.82,0.52,0.01,0.14,1.49,"1"
1263,"The Sims 3","Wii",2010,"Simulation","Electronic Arts",0.61,0.73,0,0.15,1.49,"1"
1264,"New Play Control! Mario Power Tennis","Wii",2009,"Sports","Nintendo",0.37,0.69,0.28,0.14,1.48,"1"
1265,"Bratz: Forever Diamondz","DS",2006,"Adventure","THQ",0.43,0.88,0,0.18,1.48,"1"
1266,"Dirge of Cerberus: Final Fantasy VII","PS2",2006,"Shooter","Square Enix",0.47,0.37,0.52,0.12,1.48,"1"
1267,"Nintendo World Cup","NES",1990,"Sports","Nintendo",0.28,0.5,0.65,0.05,1.48,"1"
1268,"WWF WrestleMania 2000","N64",1999,"Fighting","THQ",1.2,0.25,0.02,0.02,1.48,"1"
1269,"Wario Land II","GB",1997,"Platform","Nintendo",0.7,0.35,0.39,0.04,1.48,"1"
1270,"Mass Effect 2","PS3",2011,"Role-Playing","Electronic Arts",0.78,0.47,0.03,0.2,1.48,"1"
1271,"Major League Baseball 2K5","PS2",2005,"Sports","Take-Two Interactive",0.72,0.56,0,0.19,1.48,"1"
1272,"Fight Night 2004","PS2",2004,"Fighting","Electronic Arts",1.08,0.2,0,0.2,1.48,"1"
1273,"Tom Clancy's Splinter Cell: Pandora Tomorrow","XB",2004,"Action","Ubisoft",0.82,0.59,0,0.07,1.48,"1"
1274,"Imagine: Master Chef","DS",2007,"Simulation","Ubisoft",0.39,0.92,0,0.17,1.47,"1"
1275,"Assassin's Creed III: Liberation","PSV",2012,"Action","Ubisoft",0.58,0.55,0.06,0.28,1.47,"1"
1276,"SoulCalibur IV","PS3",2008,"Fighting","Ubisoft",0.72,0.41,0.14,0.2,1.47,"1"
1277,"Mario Golf","N64",1999,"Action","Nintendo",0.62,0.18,0.65,0.02,1.47,"1"
1278,"Disney Princess","GBA",2003,"Platform","THQ",1.04,0.37,0,0.06,1.47,"1"
1279,"Fight Night Round 3","X360",2006,"Fighting","Electronic Arts",1.33,0.03,0.01,0.1,1.47,"1"
1280,"Metal Gear Rising: Revengeance","PS3",2013,"Action","Konami Digital Entertainment",0.45,0.4,0.44,0.18,1.47,"1"
1281,"Chrono Trigger","DS",2008,"Role-Playing","Square Enix",0.69,0.2,0.49,0.09,1.47,"1"
1282,"Star Wars: The Force Unleashed II","X360",2010,"Action","LucasArts",0.95,0.4,0,0.12,1.47,"1"
1283,"The House of the Dead 2 & 3 Return","Wii",2008,"Shooter","Sega",0.78,0.5,0.03,0.15,1.47,"1"
1284,"Disney Princess: Magical Jewels","DS",2007,"Adventure","Disney Interactive Studios",1.15,0.2,0,0.12,1.47,"1"
1285,"LittleBigPlanet PS Vita","PSV",2012,"Platform","Sony Computer Entertainment",0.4,0.72,0.02,0.33,1.47,"1"
1286,"Xenogears","PS",1998,"Role-Playing","SquareSoft",0.29,0.19,0.89,0.1,1.46,"1"
1287,"The SpongeBob SquarePants Movie","GBA",2004,"Platform","THQ",1.02,0.38,0,0.06,1.46,"1"
1288,"Tom Clancy's Ghost Recon: Future Soldier","X360",2012,"Shooter","Ubisoft",0.93,0.4,0.02,0.12,1.46,"1"
1289,"Battlefield: Bad Company","X360",2008,"Shooter","Electronic Arts",0.81,0.46,0.04,0.15,1.46,"1"
1290,"Midway Arcade Treasures","PS2",2003,"Misc","Midway Games",0.72,0.56,0,0.19,1.46,"1"
1291,"Wall-E","DS",2008,"Platform","THQ",0.46,0.83,0,0.17,1.46,"1"
1292,"Homefront","X360",2011,"Shooter","THQ",0.83,0.48,0.02,0.12,1.46,"1"
1293,"Super Monkey Ball","GC",2001,"Puzzle","Atari",0.95,0.37,0.1,0.04,1.46,"1"
1294,"Donkey Kong","2600",1981,"Platform","Coleco",1.36,0.08,0,0.02,1.46,"1"
1295,"Mortal Kombat 4","PS",1998,"Fighting","GT Interactive",0.81,0.55,0,0.1,1.46,"1"
1296,"Mario Superstar Baseball","GC",2005,"Sports","Nintendo",0.93,0.24,0.25,0.04,1.46,"1"
1297,"Mass Effect 3","PS3",2012,"Role-Playing","Electronic Arts",0.63,0.59,0.03,0.21,1.46,"1"
1298,"LEGO Batman 2: DC Super Heroes","Wii",2012,"Action","Warner Bros. Interactive Entertainment",0.94,0.4,0,0.11,1.46,"1"
1299,"Medal of Honor: Warfighter","PS3",2012,"Action","Electronic Arts",0.47,0.65,0.06,0.28,1.46,"1"
1300,"WCW vs the World","PS",1998,"Fighting","THQ",1.17,0.2,0.04,0.05,1.46,"1"
1301,"SNK vs. Capcom: The Match of the Millennium","PSP",2006,"Fighting","Sega",0.53,0.58,0,0.35,1.46,"1"
1302,"LEGO City Undercover","3DS",2013,"Platform","Nintendo",0.51,0.75,0.07,0.12,1.46,"1"
1303,"Onimusha 3: Demon Siege","PS2",2004,"Action","Capcom",0.37,0.47,0.54,0.07,1.45,"1"
1304,"Diablo III","X360",2013,"Role-Playing","Activision",0.89,0.44,0,0.12,1.45,"1"
1305,"Batman: Arkham Knight","XOne",2015,"Action","Warner Bros. Interactive Entertainment",0.86,0.46,0,0.13,1.45,"1"
1306,"BioShock","PS3",2008,"Shooter","Take-Two Interactive",0.75,0.49,0.01,0.21,1.45,"1"
1307,"Red Dead Revolver","PS2",2004,"Shooter","Take-Two Interactive",0.71,0.55,0,0.19,1.45,"1"
1308,"Anno 2070","PC",2011,"Strategy","Ubisoft",0,1.13,0,0.32,1.45,"1"
1309,"Resident Evil: Outbreak","PS2",2003,"Action","Capcom",0.54,0.35,0.46,0.1,1.45,"1"
1310,"Smarty Pants","Wii",2007,"Misc","Electronic Arts",0.53,0.76,0,0.16,1.45,"1"
1311,"Tamagotchi","GB",1996,"Simulation","Namco Bandai Games",0,0,1.44,0.01,1.45,"1"
1312,"4 Nin uchi Mahjong","NES",1984,"Misc","Nintendo",0,0,1.45,0,1.45,"1"
1313,"Dragon Ball Z","SNES",1993,"Fighting","Namco Bandai Games",0,0,1.45,0,1.45,"1"
1314,"Game de Hakken!! Tamagotchi 2","GB",1997,"Simulation","Namco Bandai Games",0,0,1.44,0.01,1.45,"1"
1315,"Namco Museum 64","N64",1999,"Misc","Namco Bandai Games",1.24,0.17,0.03,0.01,1.45,"1"
1316,"Hasbro Family Game Night","Wii",2008,"Puzzle","Electronic Arts",0.97,0.34,0,0.13,1.45,"1"
1317,"Dragon Quest Monsters: Joker 2","DS",2010,"Role-Playing","Square Enix",0.11,0.08,1.24,0.02,1.45,"1"
1318,"Tony Hawk's American Wasteland (Weekly american sales)","PS2",2005,"Sports","Activision",1.38,0.05,0,0.02,1.45,"1"
1319,"My Word Coach","DS",2007,"Misc","Ubisoft",0.37,0.9,0,0.18,1.45,"1"
1320,"Hello Kitty Party","DS",2007,"Misc","Rising Star Games",0.79,0.53,0,0.13,1.44,"1"
1321,"SingStar Pop","PS2",2007,"Misc","Sony Computer Entertainment",0.04,1.08,0,0.32,1.44,"1"
1322,"Sonic Rivals","PSP",2006,"Racing","Sega",0.73,0.42,0,0.28,1.44,"1"
1323,"SimCity (2013)","PC",2013,"Simulation","Electronic Arts",0.48,0.77,0,0.19,1.44,"1"
1324,"Kirby Super Star","SNES",1996,"Platform","Nintendo",0.26,0.07,1.09,0.02,1.44,"1"
1325,"Far Cry 4","PS3",2014,"Shooter","Ubisoft",0.33,0.79,0.08,0.23,1.44,"1"
1326,"WWE SmackDown vs Raw 2008","X360",2007,"Fighting","THQ",0.92,0.38,0,0.13,1.44,"1"
1327,"Kinect Joy Ride","X360",2010,"Racing","Microsoft Game Studios",0.92,0.4,0,0.12,1.44,"1"
1328,"Rayman Raving Rabbids","Wii",2006,"Misc","Ubisoft",1.23,0.07,0.02,0.11,1.44,"1"
1329,"Need for Speed Rivals","PS3",2013,"Racing","Electronic Arts",0.33,0.74,0.05,0.31,1.44,"1"
1330,"Tiger Woods PGA Tour 2005","PS2",2004,"Sports","Electronic Arts",1.03,0.32,0,0.09,1.44,"1"
1331,"Dead Space 2","PS3",2011,"Shooter","Electronic Arts",0.73,0.5,0,0.21,1.44,"1"
1332,"NCAA Football 2003","PS2",2002,"Sports","Electronic Arts",1.16,0.08,0,0.19,1.44,"1"
1333,"Frogger 2: Swampy's Revenge","PS",1999,"Action","Hasbro Interactive",0.8,0.54,0,0.09,1.43,"1"
1334,"Disney Infinity","X360",2013,"Action","Disney Interactive Studios",0.96,0.37,0,0.11,1.43,"1"
1335,"LEGO Indiana Jones 2: The Adventure Continues","Wii",2009,"Action","Activision",0.91,0.39,0,0.13,1.43,"1"
1336,"Sonic's Ultimate Genesis Collection","X360",2009,"Misc","Sega",0.85,0.46,0,0.13,1.43,"1"
1337,"Tiger Woods PGA Tour 09 All-Play","Wii",2008,"Sports","Electronic Arts",0.81,0.48,0,0.14,1.43,"1"
1338,"Disney's DuckTales","GB",1988,"Platform","Capcom",0.82,0.23,0.35,0.03,1.43,"1"
1339,"Classic NES Series: Super Mario Bros.","GBA",2004,"Platform","Nintendo",0,0,1.39,0.03,1.43,"1"
1340,"Triple Play 2000","PS",1999,"Sports","Electronic Arts",0.79,0.54,0,0.09,1.43,"1"
1341,"Dragon Quest VII: Warriors of Eden","3DS",2013,"Role-Playing","Square Enix",0.07,0.04,1.3,0.01,1.42,"1"
1342,"Cabela's Big Game Hunter","PS2",2002,"Sports","Activision",0.7,0.54,0,0.18,1.42,"1"
1343,"UFC Undisputed 2010","PS3",2010,"Fighting","THQ",0.8,0.41,0.02,0.19,1.42,"1"
1344,"NBA Live 06 (Weekly american sales)","PS2",2005,"Sports","Electronic Arts",1.35,0.05,0,0.02,1.42,"1"
1345,"The Legend of Zelda: The Minish Cap","GBA",2004,"Action","Nintendo",0.89,0.22,0.22,0.1,1.42,"1"
1346,"NFL Street","PS2",2004,"Sports","Electronic Arts",1.15,0.08,0,0.19,1.42,"1"
1347,"Sonic Generations","X360",2011,"Platform","Sega",0.71,0.57,0,0.14,1.42,"1"
1348,"Super Metroid","SNES",1994,"Action","Nintendo",0.57,0.12,0.71,0.02,1.42,"1"
1349,"Pro Yakyuu Family Stadium '87","NES",1987,"Sports","Namco Bandai Games",0.12,0,1.3,0,1.42,"1"
1350,"Dead Space","X360",2008,"Action","Electronic Arts",0.89,0.4,0,0.13,1.42,"1"
1351,"Resident Evil (Remake)","GC",2002,"Action","Capcom",0.63,0.38,0.35,0.05,1.42,"1"
1352,"Inazuma Eleven 2","DS",2009,"Role-Playing","Nintendo",0,0.21,1.18,0.03,1.42,"1"
1353,"Tomb Raider (2013)","PS4",2014,"Action","Square Enix",0.47,0.64,0.06,0.25,1.41,"1"
1354,"LEGO Star Wars II: The Original Trilogy","PSP",2006,"Action","LucasArts",0.58,0.51,0,0.32,1.41,"1"
1355,"Toy Story 3: The Video Game","Wii",2010,"Action","Disney Interactive Studios",0.64,0.63,0,0.14,1.41,"1"
1356,"Fight Night Round 4","X360",2009,"Fighting","Electronic Arts",0.95,0.34,0,0.13,1.41,"1"
1357,"LEGO Star Wars: The Video Game","GC",2005,"Action","Eidos Interactive",1.09,0.28,0,0.04,1.41,"1"
1358,"Injustice: Gods Among Us","X360",2013,"Fighting","Warner Bros. Interactive Entertainment",0.97,0.34,0,0.11,1.41,"1"
1359,"Madden NFL 15","PS3",2014,"Sports","Electronic Arts",1.07,0.15,0,0.19,1.41,"1"
1360,"Disney's The Lion King","GEN",1994,"Platform","Virgin Interactive",0.97,0.37,0.03,0.05,1.41,"1"
1361,"Ridge Racer","PSP",2004,"Racing","Sony Computer Entertainment",0.36,0.45,0.32,0.28,1.41,"1"
1362,"Metroid: Other M","Wii",2010,"Action","Nintendo",0.87,0.31,0.13,0.1,1.41,"1"
1363,"Knockout Kings 2000","PS",1999,"Fighting","Electronic Arts",1.02,0.34,0,0.05,1.41,"1"
1364,"Gran Turismo 4 Prologue","PS2",2003,"Racing","Sony Computer Entertainment",0,0.47,0.77,0.17,1.41,"1"
1365,"Twisted Metal: Black","PS2",2001,"Racing","Sony Computer Entertainment",1.19,0.17,0,0.05,1.41,"1"
1366,"NASCAR 2005: Chase for the Cup","PS2",2004,"Racing","Electronic Arts",0.69,0.54,0,0.18,1.41,"1"
1367,"Call of Duty: Black Ops","Wii",2010,"Shooter","Activision",0.82,0.47,0,0.12,1.4,"1"
1368,"Spider-Man: The Movie","XB",2002,"Action","Activision",1.07,0.28,0,0.05,1.4,"1"
1369,"Need For Speed: Undercover","PS2",2008,"Racing","Electronic Arts",0.38,0.08,0.03,0.93,1.4,"1"
1370,"2Xtreme","PS",1996,"Sports","Sony Computer Entertainment",1.15,0.2,0,0.05,1.4,"1"
1371,"Far Cry 2","PS3",2008,"Action","Ubisoft",0.43,0.7,0.01,0.27,1.4,"1"
1372,"Sonic Advance 3","GBA",2004,"Platform","THQ",0.74,0.52,0.08,0.06,1.4,"1"
1373,"Final Fantasy III","NES",1990,"Role-Playing","SquareSoft",0,0,1.39,0.01,1.4,"1"
1374,"Battlefield 4","PC",2013,"Shooter","Electronic Arts",0.38,0.86,0,0.16,1.4,"1"
1375,"Colin McRae Rally 3","PS2",2002,"Racing","Codemasters",0.03,1.05,0.02,0.3,1.4,"1"
1376,"Madden NFL 2002","PS",2001,"Sports","Electronic Arts",0.78,0.53,0,0.09,1.39,"1"
1377,"Doom (2016)","PS4",2016,"Shooter","Bethesda Softworks",0.49,0.66,0.02,0.22,1.39,"1"
1378,"Final Fantasy XII: Revenant Wings","DS",2007,"Role-Playing","Square Enix",0.34,0.42,0.54,0.1,1.39,"1"
1379,"Bakugan: Battle Brawlers","DS",2009,"Action","Activision",1.27,0.02,0,0.09,1.39,"1"
1380,"Deus Ex: Human Revolution","PS3",2011,"Shooter","Square Enix",0.5,0.6,0.07,0.23,1.39,"1"
1381,"NBA Jam","SNES",1994,"Sports","Acclaim Entertainment",1.19,0.16,0,0.03,1.39,"1"
1382,"Teenage Mutant Ninja Turtles III: The Manhattan Project","NES",1991,"Action","Konami Digital Entertainment",1.05,0.17,0.15,0.02,1.39,"1"
1383,"Dynasty Warriors 5","PS2",2005,"Action","Tecmo Koei",0.24,0.18,0.91,0.06,1.39,"1"
1384,"Hannah Montana: Spotlight World Tour","Wii",2007,"Action","Disney Interactive Studios",0.87,0.38,0,0.13,1.39,"1"
1385,"WWE '13","PS3",2012,"Action","THQ",0.51,0.62,0,0.26,1.39,"1"
1386,"Deus Ex: Human Revolution","X360",2011,"Shooter","Square Enix",0.76,0.48,0.02,0.12,1.39,"1"
1387,"True Crime: Streets of LA","XB",2003,"Action","Activision",0.96,0.37,0,0.05,1.38,"1"
1388,"The Sims 2","PSP",2005,"Simulation","Electronic Arts",0.49,0.56,0,0.33,1.38,"1"
1389,"Paper Mario","N64",2000,"Role-Playing","Nintendo",0.58,0.18,0.59,0.02,1.38,"1"
1390,"Bravely Default: Flying Fairy","3DS",2012,"Role-Playing","Nintendo",0.5,0.32,0.49,0.07,1.38,"1"
1391,"Titanfall","X360",2014,"Shooter","Electronic Arts",0.87,0.38,0.02,0.11,1.38,"1"
1392,"Duke Nukem: Time to Kill","PS",1998,"Shooter","Take-Two Interactive",0.77,0.54,0,0.07,1.38,"1"
1393,"Persona 4: Golden","PSV",2012,"Role-Playing","Atlus",0.46,0.34,0.38,0.21,1.38,"1"
1394,"Dead Rising 2","PS3",2010,"Action","Capcom",0.43,0.57,0.15,0.22,1.38,"1"
1395,"Hasbro Family Game Night 2","Wii",2009,"Misc","Electronic Arts",0.71,0.53,0,0.13,1.38,"1"
1396,"Disney Princess: Enchanted Journey","Wii",2007,"Adventure","Disney Interactive Studios",1.24,0.04,0,0.09,1.38,"1"
1397,"Gardening Mama","DS",2009,"Puzzle","505 Games",0.8,0.43,0.01,0.13,1.38,"1"
1398,"Dave Mirra Freestyle BMX 2","PS2",2001,"Sports","Acclaim Entertainment",0.67,0.53,0,0.18,1.38,"1"
1399,"Need for Speed: The Run","X360",2011,"Action","Electronic Arts",0.63,0.58,0,0.15,1.38,"1"
